from,to,lta
AT,CZ,349
AT,HU,400
AT,SI,599
BE,DE,400
CZ,AT,300
CZ,DE,950
CZ,PL,0
CZ,SK,800
DE,BE,400
DE,CZ,320
DE,PL,0
HU,AT,500
HU,SI,200
HU,SK,850
HU,HR,700
HU,RO,470
HR,HU,600
HR,SI,650
PL,CZ,0
PL,DE,0
PL,SK,0
RO,HU,630
SI,AT,599
SI,HR,650
SI,HU,200
SK,CZ,700
SK,HU,850
SK,PL,0
AT,DE,4819
BE,NL,619
BE,FR,450
DE,AT,4820
DE,FR,1000
DE,NL,1081
FR,BE,1600
FR,DE,1170
NL,BE,619
NL,DE,1080
