ram
205.0
132.0
346.0
410.0
398.0
467.0
235.0
539.0
513.0
496.0
2213.0
1489.0
1068.0
262.0
174.0
168.0
199.0
743.0
1315.0
1517.0
1016.0
1783.0
1800.0
1014.0
1049.0
1045.0
1293.0
1434.0
1058.0
2183.0
182.0
245.0
285.0
279.0
279.0
523.0
776.0
113.0
411.0
459.0
514.0
1044.0
1499.0
1118.0
691.0
618.0
1947.0
886.0
556.0
161.0
524.0
974.0
193.0
186.0
334.0
340.0
284.0
625.0
490.0
1105.0
790.0
842.0
1711.0
135.0
219.0
227.0
1207.0
978.0
1287.0
1438.0
588.0
943.0
359.0
395.0
1109.0
849.0
425.0
875.0
861.0
107.0
847.0
634.0
779.0
1177.0
326.0
1084.0
369.0
1182.0
902.0
1071.0
1304.0
1307.0
1307.0
1286.0
1531.0
714.0
1314.0
1129.0
889.0
840.0
837.0
837.0
833.0
858.0
1353.0
1162.0
683.0
636.0
