from,to,exchange
AT,CZ,0.0
AT,DE,0.0
AT,HU,698.6
AT,SI,685.9
BE,DE,0.0
BE,FR,2363.1
BE,NL,8.8
CZ,AT,1275.0
CZ,DE,153.9
CZ,PL,198.8
CZ,SK,594.7
DE,AT,1121.1
DE,BE,805.7
DE,CZ,0.0
DE,FR,2991.6
DE,NL,637.3
DE,PL,44.8
FR,BE,0.0
FR,DE,0.0
HR,HU,225.5
HR,SI,212.8
HU,AT,0.0
HU,HR,0.0
HU,RO,525.6
HU,SI,0.0
HU,SK,0.0
NL,BE,0.0
NL,DE,0.0
PL,CZ,0.0
PL,DE,0.0
PL,SK,396.0
RO,HU,0.0
SI,AT,0.0
SI,HR,0.0
SI,HU,12.7
SK,CZ,0.0
SK,HU,1378.8
SK,PL,0.0
ALBE,ALDE,805.7
