Id,timestep,cb,co,ram,iva,f@mcp,ram@mcp,ALBE,ALDE,AT,BE,CZ,DE,FR,HR,HU,NL,PL,RO,SI,SK
52770549,2022/09/17 22:00:00,Ernsthofen 2 - Hausruck 203C DIRECT,Kronstorf - St. Peter 1 431,205.0,0.0,-53.26743100000002,258.26743100000004,-0.05364,-0.05397,-0.05045,-0.05357,-0.01574,-0.05415,-0.05245,-0.00096,0.00217,-0.05359,-0.0215,0.0002,-0.00286,-0.00278
52770825,2022/09/17 22:00:00,Neusiedl - Gyoer 246B DIRECT,Gyor - Wien Wien Suedost - Gyoer 245,132.0,0.0,56.402598000000026,75.59740199999997,0.02663,0.02657,0.04054,0.02666,0.02501,0.02682,0.02681,0.01268,-0.01278,0.02652,0.01528,-0.00108,0.02158,0.00627
52770830,2022/09/17 22:00:00,Obersielach - Podlog 247 OPPOSITE,Kainachtal - Obersielach 471,346.0,0.0,-71.26599700000001,417.265997,-0.04012,-0.04044,-0.08143,-0.04003,-0.03471,-0.04253,-0.03882,0.02899,-0.01565,-0.04024,-0.03071,-0.00163,0.04934,-0.0244
52770841,2022/09/17 22:00:00,Obersielach - Podlog 247 DIRECT,400 kV Cirkovce - Podlog,410.0,0.0,102.221455,307.778545,0.03541,0.03606,0.07455,0.03521,0.03624,0.03844,0.03299,-0.03698,0.01965,0.03581,0.03155,0.00214,-0.07883,0.0277
52770842,2022/09/17 22:00:00,Obersielach - Podlog 247 OPPOSITE,400 kV Cirkovce - Podlog,398.0,0.0,-102.221455,500.221455,-0.03541,-0.03606,-0.07455,-0.03521,-0.03624,-0.03844,-0.03299,0.03698,-0.01965,-0.03581,-0.03155,-0.00214,0.07883,-0.0277
52770887,2022/09/17 22:00:00,St. Peter 2 - Pleinting 258 ,Pirach - St. Peter 256 Pirach - St. Peter 256,467.0,0.0,-172.10674899999998,639.106749,-0.08287,-0.08336,0.01322,-0.08279,-0.02379,-0.08337,-0.08096,-0.00055,0.00267,-0.0827,-0.03295,0.00024,-0.00276,-0.00447
52770928,2022/09/17 22:00:00,Rosegg - Villach Sued 267B DIRECT,Feistritz - Villach 266C,235.0,0.0,-29.351997000000054,264.35199700000004,-0.05389,-0.05308,-0.07997,-0.05416,-0.0233,-0.05507,-0.05633,0.00758,-0.0031,-0.05301,-0.02472,-0.00028,0.01134,-0.01064
52770966,2022/09/17 22:00:00,Vill_Thaur - Silz 273C DIRECT,Vill_Thaur - Silz 274C Vill_Thaur - Silz 274C Vill_Thaur - Silz 274C Vill_Thaur - Silz 274C,539.0,0.0,-180.57257700000002,719.572577,-0.03804,-0.0379,0.07068,-0.03811,-0.01255,-0.04465,-0.03789,0.00318,-0.00089,-0.03762,-0.01555,-9e-05,0.00463,-0.00502
52770974,2022/09/17 22:00:00,Thaur - Y_Vill 273C-THA DIRECT,Thaur - Y_Vill 274C-THA,513.0,0.0,-189.558816,702.558816,-0.04325,-0.04309,0.06484,-0.04333,-0.01427,-0.05077,-0.04309,0.00362,-0.00102,-0.04278,-0.01769,-0.00011,0.00527,-0.00571
52771104,2022/09/17 22:00:00, Meiningen - Ruetli 408 DIRECT,Meiningen - Ruetli 407,496.0,0.0,171.60016499999992,324.39983500000005,-0.04154,-0.03348,0.0979,-0.04388,0.00058,-0.00383,-0.06391,-0.00331,0.00219,-0.03575,-0.00412,0.00025,-0.00635,0.00158
52771226,2022/09/17 22:00:00,Duernrohr 1 - Slavetice 437 DIRECT,Slavetice - Durnrohr - V438  Duernrohr 1 - Slavetice 438,2213.0,0.0,-691.2950850000002,2904.295085,-0.03986,-0.0424,0.06978,-0.03901,-0.20852,-0.04403,-0.03156,0.0315,-0.00824,-0.04246,-0.08661,-0.00114,0.04525,-0.07915
52771227,2022/09/17 22:00:00,Duernrohr 1 - Slavetice 437 OPPOSITE,Slavetice - Durnrohr - V438  Duernrohr 1 - Slavetice 438,1489.0,0.0,691.2950850000002,797.7049149999998,0.03986,0.0424,-0.06978,0.03901,0.20852,0.04403,0.03156,-0.0315,0.00824,0.04246,0.08661,0.00114,-0.04525,0.07915
52771261,2022/09/17 22:00:00,Sarasdorf - Zurndorf 439A OPPOSITE,Sarasdorf - Zurndorf 440A,1068.0,0.0,-356.8461410000001,1424.846141,-0.15607,-0.15622,-0.20723,-0.15607,-0.16221,-0.15807,-0.15544,-0.04901,0.04179,-0.15585,-0.09041,0.00354,-0.09649,-0.01886
